DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2026-03-09T10:57:44Z,-0.13,12.1279,1.047,3.8484,38.407,28.53293,9.8125,92.424,9.298,117.1421,60.644,10604.38891466897,0.141,0
2026-03-09T10:57:44Z,-0.095,12.1306,1.0661,3.9624,38.483,28.591,9.9168,92.318,9.303,115.747,53.503,10656.252259549523,0.149,0
2026-03-09T10:57:44Z,-0.048,12.1338,1.0769,4.0591,38.538,28.631244,9.9871,92.463,9.307,120.8133,46.944,10691.40550367561,0.149,0
2026-03-09T10:57:44Z,0.002,12.1385,1.0858,4.1291,38.551,28.638937,9.9611,92.706,9.312,127.5496,40.584,10695.42858282774,0.138,0
2026-03-09T10:57:44Z,0.049,12.1431,1.0905,4.1594,38.53,28.620591,9.9206,92.997,9.317,125.6101,36.456,10675.392495295035,0.118,0
2026-03-09T10:57:44Z,0.083,12.1461,1.1004,4.0838,38.504,28.599708,9.9012,93.461,9.323,119.3883,35.468,10654.092876550947,0.088,0
2026-03-09T10:57:44Z,0.094,12.1454,1.1221,3.8983,38.473,28.576723,9.9295,94.132,9.329,117.1963,36.443,10633.31402632877,0.056,0
2026-03-09T10:57:44Z,0.091,12.1411,1.1449,3.8294,38.414,28.532977,9.9595,94.86,9.334,117.261,38.363,10595.778807910934,0.027,0
2026-03-09T10:57:44Z,0.086,12.1361,1.159,3.9005,38.389,28.514772,9.9803,95.287,9.338,117.503,40.481,10582.279241286375,0.007,0
2026-03-09T10:57:44Z,0.083,12.1347,1.152,3.9032,38.431,28.546899,10.0338,95.361,9.342,117.7139,43.279,10612.808257512917,-0.004,0
2026-03-09T10:57:44Z,0.083,12.1353,1.0927,3.8967,38.423,28.540848,10.1046,95.439,9.348,117.9184,46.262,10606.833439699956,-0.009,0
2026-03-09T10:57:44Z,0.084,12.1358,1.0085,3.9919,38.378,28.505036,10.2058,95.561,9.353,118.168,47.663,10573.512016566934,-0.011,0
2026-03-09T10:57:44Z,0.085,12.1367,0.9749,4.0982,38.37,28.494469,10.2573,95.456,9.358,118.495,47.598,10563.2017382532,-0.013,0
2026-03-09T10:57:44Z,0.081,12.1375,0.9859,4.1572,38.352,28.476504,10.2369,95.107,9.362,118.7745,47.166,10546.164765677006,-0.014,0
2026-03-09T10:57:44Z,0.071,12.1378,0.9995,4.1249,38.359,28.478108,10.2459,94.689,9.366,119.2245,46.461,10547.44385317406,-0.012,0
2026-03-09T10:57:44Z,0.062,12.1353,1.0075,4.0492,38.411,28.513855,10.2802,94.34,9.371,119.8927,45.886,10581.958852986709,-0.007,0
2026-03-09T10:57:44Z,0.059,12.1285,1.0156,4.0272,38.436,28.52815,10.2664,94.099,9.375,120.2278,45.521,10599.579805507723,0.003,0
2026-03-09T10:57:44Z,0.062,12.122,1.0392,4.0637,38.437,28.524085,10.2214,93.809,9.38,120.2653,44.956,10600.088245802839,0.014,0
2026-03-09T10:57:44Z,0.07,12.1172,1.0679,4.0463,38.447,28.528125,10.1744,93.489,9.384,120.3458,44.173,10606.959593261081,0.024,0
2026-03-09T10:57:44Z,0.081,12.1135,1.0625,3.8853,38.43,28.513568,10.132,93.501,9.388,120.5988,43.123,10595.955395680507,0.026,0
2026-03-09T10:57:44Z,0.095,12.109,1.0318,3.7916,38.379,28.47493,10.1171,93.792,9.393,120.9153,42.143,10563.29896717965,0.019,0
2026-03-09T10:57:44Z,0.107,12.1022,1.0298,3.8687,38.337,28.441528,10.0957,93.989,9.398,121.0749,42.731,10537.007435901229,0.008,0
2026-03-09T10:57:44Z,0.108,12.0965,1.0558,3.9978,38.323,28.426846,10.0311,94.054,9.403,121.2385,45.843,10527.224587215334,-0.005,0
2026-03-09T10:57:44Z,0.097,12.0943,1.0708,4.0547,38.327,28.424265,10.0383,94.058,9.407,121.5161,50.56,10526.285157776249,-0.016,0
2026-03-09T10:57:44Z,0.082,12.0937,1.0613,4.0439,38.313,28.410316,10.0975,94.042,9.411,121.7642,55.671,10513.864790899768,-0.024,0
2026-03-09T10:57:44Z,0.072,12.0921,1.041,4.1074,38.279,28.385037,10.1103,94.101,9.416,121.9152,60.512,10491.710112695975,-0.026,0
2026-03-09T10:57:44Z,0.067,12.086,1.042,4.207,38.261,28.372341,10.1164,94.127,9.42,122.0518,64.591,10484.024268223677,-0.022,0
2026-03-09T10:57:44Z,0.063,12.0768,1.0481,4.1899,38.276,28.383664,10.122,93.969,9.424,122.1249,67.184,10500.375135814822,-0.014,0
2026-03-09T10:57:44Z,0.062,12.0729,1.032,4.0706,38.292,28.39508,10.1104,93.749,9.426,122.111,68.138,10513.389704822865,-0.007,0
2026-03-09T10:57:44Z,0.063,12.0733,1.0221,3.9954,38.277,28.383529,10.1224,93.529,9.429,122.1424,68.36,10502.523111917584,-0.002,0
2026-03-09T10:57:44Z,0.064,12.0743,1.0286,3.9972,38.261,28.370853,10.1397,93.24,9.432,122.2454,68.589,10490.242825528941,0.001,0
2026-03-09T10:57:44Z,0.064,12.0755,1.0432,3.9898,38.258,28.368672,10.1076,92.875,9.435,122.4963,68.506,10487.464585671116,0.003,0
2026-03-09T10:57:44Z,0.065,12.0751,1.0487,3.9063,38.243,28.35715,10.0835,92.472,9.437,122.7673,67.756,10477.160574949183,0.004,0
2026-03-09T10:57:44Z,0.066,12.0735,1.0295,3.8077,38.244,28.358397,10.0659,92.079,9.44,122.9405,66.891,10479.339700186203,0.004,0
2026-03-09T10:57:44Z,0.067,12.0723,1.0279,3.8223,38.278,28.383748,10.0336,91.73,9.443,123.2131,66.492,10503.37315302555,0.003,0
2026-03-09T10:57:44Z,0.069,12.0722,1.0704,3.9123,38.314,28.409958,9.9933,91.426,9.445,123.4829,66.206,10527.51691422169,0.003,0
2026-03-09T10:57:44Z,0.069,12.0725,1.1184,3.9392,38.329,28.421586,9.9477,91.206,9.448,123.7069,65.788,10538.015202451748,0.003,0
2026-03-09T10:57:44Z,0.069,12.0728,1.1263,3.8743,38.297,28.397482,9.9035,91.085,9.452,124.0298,65.637,10515.6608846456,0.002,0
2026-03-09T10:57:44Z,0.07,12.0729,1.099,3.8106,38.264,28.372236,9.8671,90.905,9.454,124.2028,65.314,10492.419053816497,0,0
2026-03-09T10:57:44Z,0.07,12.0729,1.0878,3.8522,38.261,28.370044,9.8338,90.508,9.456,124.1643,64.93,10490.408246210915,-0.001,0
2026-03-09T10:57:44Z,0.07,12.0728,1.0988,3.8994,38.262,28.370989,9.8042,89.829,9.459,124.2528,65.266,10491.339904577655,-0.003,0
2026-03-09T10:57:44Z,0.069,12.0724,1.0993,3.8341,38.279,28.383654,9.8028,88.849,9.461,124.4973,65.938,10503.221847885903,-0.005,0
2026-03-09T10:57:44Z,0.067,12.0718,1.0853,3.7802,38.296,28.396328,9.7889,87.624,9.463,124.7128,66.309,10515.250847211557,-0.007,0
2026-03-09T10:57:44Z,0.066,12.0715,1.0631,3.8291,38.297,28.397368,9.7475,86.288,9.465,124.7932,66.37,10516.401384452894,-0.01,0
2026-03-09T10:57:44Z,0.063,12.0718,1.0468,3.9129,38.295,28.396225,9.6761,84.974,9.468,124.7811,66.641,10515.156397092414,-0.012,0
2026-03-09T10:57:44Z,0.059,12.0723,1.0378,3.9047,38.276,28.38251,9.5687,83.762,9.47,124.8245,67.209,10502.236991964492,-0.013,0
2026-03-09T10:57:44Z,0.054,12.0725,1.0295,3.8332,38.243,28.358399,9.4305,82.693,9.472,124.8014,67.502,10479.98971641639,-0.014,0
2026-03-09T10:57:44Z,0.05,12.0726,1.0543,3.8669,38.243,28.358409,9.2815,81.802,9.474,124.6744,67.645,10479.93428469721,-0.016,0
