DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2026-04-20T11:20:38Z,-0.102,17.6429,3.3749,1.8255,37.432,31.926496,8.5512,89.184,9.946,97.7319,529.7,10122.03025048412,0.033,0
2026-04-20T11:20:38Z,-0.098,17.6411,3.3608,1.7815,37.403,31.901226,8.5367,89.16,9.948,97.8254,527.81,10103.306622139062,0.023,0
2026-04-20T11:20:38Z,-0.095,17.6405,3.3577,1.7748,37.389,31.88854,8.5218,89.155,9.951,97.9621,526.14,10093.74286248143,0.016,0
2026-04-20T11:20:38Z,-0.093,17.6412,3.3542,1.7433,37.404,31.899979,8.5081,89.16,9.954,98.0943,525.19,10102.276119956892,0.013,0
2026-04-20T11:20:38Z,-0.091,17.6417,3.302,1.7773,37.419,31.912657,8.5034,89.188,9.956,98.2189,525.49,10111.895007142355,0.012,0
2026-04-20T11:20:38Z,-0.087,17.6411,3.2015,1.8439,37.423,31.914954,8.5019,89.261,9.957,98.4363,525.37,10114.029699797484,0.013,0
2026-04-20T11:20:38Z,-0.082,17.6397,3.1288,1.8313,37.439,31.927744,8.5018,89.364,9.959,98.658,524.17,10124.821338798327,0.014,0
2026-04-20T11:20:38Z,-0.079,17.6382,3.1224,1.8307,37.456,31.940422,8.5023,89.44,9.962,98.749,523.34,10135.590284068336,0.015,0
2026-04-20T11:20:38Z,-0.076,17.6376,3.1908,1.9046,37.458,31.941367,8.5038,89.469,9.964,98.7615,524.43,10136.67069063662,0.015,0
2026-04-20T11:20:38Z,-0.072,17.6369,3.2894,1.9386,37.456,31.939164,8.5109,89.471,9.966,98.809,524.18,10135.34439307432,0.013,0
2026-04-20T11:20:38Z,-0.067,17.635,3.3326,1.9006,37.426,31.913791,8.5243,89.461,9.967,98.9797,520.78,10116.579112210931,0.01,0
2026-04-20T11:20:38Z,-0.062,17.6329,3.3222,1.8543,37.396,31.888332,8.5326,89.449,9.97,99.191,518.24,10097.880310798006,0.008,0
2026-04-20T11:20:38Z,-0.061,17.6317,3.3379,1.8921,37.392,31.885098,8.5337,89.441,9.972,99.2982,517.16,10096.03465548133,0.006,0
2026-04-20T11:20:38Z,-0.062,17.6311,3.3983,1.9471,37.379,31.874698,8.5345,89.44,9.974,99.4155,515.95,10088.256970421891,0.006,0
2026-04-20T11:20:38Z,-0.063,17.6316,3.4358,1.9048,37.395,31.889455,8.5324,89.424,9.976,99.5768,513.33,10099.493300810704,0.007,0
2026-04-20T11:20:38Z,-0.063,17.6319,3.4422,1.8587,37.449,31.936658,8.5318,89.392,9.977,99.6996,469.82,10136.22448643812,0.009,0
2026-04-20T11:20:38Z,-0.059,17.632,3.4583,1.8686,37.449,31.937917,8.5297,89.371,9.978,99.7823,393.77,10137.152848201926,0.009,0
2026-04-20T11:20:38Z,-0.053,17.6329,3.4976,1.9216,37.409,31.904667,8.5311,89.354,9.98,99.8887,364.85,10110.638819966463,0.009,0
2026-04-20T11:20:38Z,-0.047,17.6342,3.5183,1.9189,37.42,31.915276,8.5301,89.337,9.981,100.0385,370.35,10118.19292620421,0.008,0
2026-04-20T11:20:38Z,-0.045,17.6356,3.5013,1.8355,37.448,31.939308,8.5239,89.335,9.983,100.3029,379.5,10136.19478889492,0.01,0
2026-04-20T11:20:38Z,-0.047,17.6372,3.4993,1.7674,37.45,31.941492,8.5234,89.351,9.983,100.763,401.5,10136.99473779098,0.024,0
2026-04-20T11:20:38Z,-0.05,17.6393,3.5353,1.7789,37.449,31.941682,8.5214,89.39,9.983,101.0418,415.01,10135.950069601502,0.051,0
2026-04-20T11:20:38Z,-0.05,17.6406,3.5708,1.871,37.446,31.941606,8.5183,89.449,9.984,101.0061,403.41,10135.152033040418,0.088,0
2026-04-20T11:20:38Z,-0.032,17.6412,3.5797,1.8564,37.441,31.940569,8.5186,89.502,9.986,100.9337,365.96,10133.999571790762,0.128,0
2026-04-20T11:20:38Z,0.018,17.6415,3.5672,1.7396,37.424,31.929138,8.5198,89.54,9.988,100.9407,319.16,10124.886169813844,0.165,0
2026-04-20T11:20:38Z,0.087,17.6422,3.5942,1.7569,37.423,31.930281,8.5227,89.557,9.99,101.0909,283.04,10125.3794748433,0.191,0
2026-04-20T11:20:38Z,0.151,17.6453,3.6822,1.8943,37.448,31.954388,8.5299,89.547,9.992,101.2879,253.51,10142.475677069087,0.196,0
2026-04-20T11:20:38Z,0.21,17.6496,3.7397,1.9667,37.462,31.966867,8.5337,89.507,9.994,101.4287,225.74,10149.796902792166,0.176,0
2026-04-20T11:20:38Z,0.261,17.6539,3.7409,1.8797,37.447,31.954285,8.5371,89.428,9.996,101.5032,205.19,10137.502295377848,0.139,0
2026-04-20T11:20:38Z,0.292,17.6578,3.7382,1.7307,37.418,31.929135,8.5382,89.333,9.999,101.4993,191.03,10115.62674153208,0.098,0
2026-04-20T11:20:38Z,0.302,17.6605,3.7647,1.7377,37.405,31.916544,8.5364,89.233,10.002,101.6403,181.57,10104.264854255764,0.064,0
2026-04-20T11:20:38Z,0.299,17.6619,3.8037,1.8956,37.421,31.928919,8.5338,89.141,10.004,101.9169,177.17,10113.13411260044,0.041,0
2026-04-20T11:20:38Z,0.295,17.662,3.8265,1.9665,37.447,31.951882,8.5244,89.083,10.006,102.0909,175.12,10131.02129784177,0.027,0
2026-04-20T11:20:38Z,0.299,17.6611,3.8076,1.8766,37.433,31.940434,8.5152,89.056,10.008,102.2821,172.2,10122.583579517945,0.02,0
2026-04-20T11:20:38Z,0.313,17.6591,3.7503,1.7656,37.407,31.917375,8.5065,89.061,10.011,102.4214,168.6,10105.706071148405,0.017,0
2026-04-20T11:20:38Z,0.327,17.6579,3.7249,1.7863,37.418,31.92683,8.4955,89.112,10.012,102.3986,166.87,10113.768333470036,0.014,0
2026-04-20T11:20:38Z,0.331,17.6588,3.7416,1.8878,37.419,31.927878,8.4912,89.221,10.013,102.5229,166.53,10114.076710652074,0.01,0
2026-04-20T11:20:38Z,0.327,17.659,3.7522,1.8994,37.422,31.930052,8.4884,89.362,10.014,102.8054,166.11,10115.661830762494,0.003,0
2026-04-20T11:20:38Z,0.321,17.659,3.7527,1.824,37.45,31.95312,8.4879,89.469,10.016,102.9756,164.68,10133.691820912285,-0.003,0
2026-04-20T11:20:38Z,0.316,17.659,3.7572,1.7618,37.45,31.953025,8.493,89.52,10.018,103.0315,161.48,10133.617719916858,-0.005,0
2026-04-20T11:20:38Z,0.315,17.6587,3.781,1.7958,37.422,31.92891,8.5027,89.523,10.02,103.1379,157.08,10114.940294664566,-0.003,0
2026-04-20T11:20:38Z,0.317,17.6582,3.8076,1.8593,37.406,31.915296,8.5209,89.47,10.021,103.3151,152.75,10104.592607992678,0,0
2026-04-20T11:20:38Z,0.321,17.6569,3.7953,1.8474,37.406,31.915296,8.5309,89.383,10.022,103.5392,149.4,10105.32857308958,0.002,0
2026-04-20T11:20:38Z,0.322,17.6559,3.7662,1.8567,37.422,31.928909,8.5351,89.312,10.023,103.7827,147.23,10116.526447768088,0.004,0
2026-04-20T11:20:38Z,0.321,17.6556,3.7554,1.8692,37.45,31.953016,8.5366,89.255,10.025,103.9352,145.8,10135.541777191513,0.004,0
2026-04-20T11:20:38Z,0.32,17.656,3.7563,1.7928,37.45,31.953016,8.5309,89.175,10.026,104.1795,142.8,10135.314579495363,0.008,0
2026-04-20T11:20:38Z,0.321,17.6564,3.7858,1.7187,37.421,31.928909,8.5195,89.083,10.026,104.5849,139.2,10116.243081734949,0.021,0
2026-04-20T11:20:38Z,0.323,17.6565,3.8285,1.6903,37.404,31.915296,8.5131,89.025,10.026,104.9644,138.79,10105.555020760972,0.044,0
2026-04-20T11:20:38Z,0.327,17.6566,3.8319,1.7228,37.402,31.915296,8.5104,89.031,10.027,105.3275,139.89,10105.498427379782,0.07,0
2026-04-20T11:20:38Z,0.343,17.6569,3.8269,1.8388,37.416,31.928909,8.5014,89.084,10.028,105.6198,137.92,10115.959189019697,0.092,0
2026-04-20T11:20:38Z,0.382,17.657,3.8259,1.9318,37.442,31.953016,8.491,89.154,10.029,105.8305,133.26,10134.744290028926,0.107,0
2026-04-20T11:20:38Z,0.43,17.6576,3.7941,1.89,37.441,31.953015,8.4839,89.246,10.031,106.0681,128.46,10134.400540230283,0.113,0
2026-04-20T11:20:38Z,0.47,17.6605,3.7515,1.7783,37.412,31.928898,8.4849,89.344,10.032,106.3416,124.76,10113.904592566112,0.112,0
2026-04-20T11:20:38Z,0.496,17.6637,3.7181,1.777,37.396,31.915181,8.491,89.418,10.033,106.6428,123.11,10101.382255630784,0.103,0
2026-04-20T11:20:38Z,0.51,17.6653,3.7149,1.8736,37.395,31.914038,8.4963,89.449,10.034,106.9578,121.31,10099.584508029353,0.089,0
2026-04-20T11:20:38Z,0.522,17.6667,3.7295,1.8871,37.397,31.915068,8.5055,89.427,10.036,107.2244,117.51,10099.595615772918,0.074,0
