DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2026-04-20T10:37:58Z,-0.106,17.6307,3.2815,2.1263,37.282,31.795631,8.9747,93.95,10.147,105.5096,534.32,10026.90515306632,0.062,0
2026-04-20T10:37:58Z,-0.074,17.6344,3.365,2.046,37.266,31.783034,8.9744,93.882,10.15,105.9564,520.22,10015.038523566083,0.062,0
2026-04-20T10:37:58Z,-0.058,17.637,3.4228,1.9819,37.271,31.786981,8.969,93.867,10.155,112.0494,532.72,10016.644372657925,0.047,0
2026-04-20T10:37:58Z,-0.055,17.6377,3.4403,1.9655,37.264,31.779914,8.9664,93.907,10.16,118.0057,600.86,10010.763679933963,0.024,0
2026-04-20T10:37:58Z,-0.063,17.6382,3.4352,1.9847,37.242,31.761031,8.961,93.946,10.165,113.2719,662.25,9995.830261694695,0.004,0
2026-04-20T10:37:58Z,-0.073,17.6386,3.3602,1.9751,37.228,31.748976,8.9502,93.989,10.166,107.383,615.4,9986.259438272518,-0.004,0
2026-04-20T10:37:58Z,-0.078,17.6383,3.2415,1.9857,37.242,31.761029,8.949,94.056,10.165,106.5159,544.19,9995.77343306937,-0.003,0
2026-04-20T10:37:58Z,-0.077,17.637,3.1816,2.0111,37.264,31.779899,8.9573,94.163,10.166,106.5737,522.95,10011.145702261534,0.004,0
2026-04-20T10:37:58Z,-0.071,17.6366,3.1934,2.0087,37.27,31.786809,8.9589,94.307,10.168,106.9631,522.2,10016.736045894615,0.01,0
2026-04-20T10:37:58Z,-0.062,17.6369,3.3008,2.093,37.263,31.781147,8.963,94.408,10.169,107.1793,528.98,10012.170158382616,0.013,0
2026-04-20T10:37:58Z,-0.055,17.6366,3.4648,2.1775,37.257,31.774879,8.9687,94.396,10.172,107.1228,535.58,10007.471869711493,0.012,0
2026-04-20T10:37:58Z,-0.053,17.6372,3.5367,2.2095,37.257,31.774454,8.9777,94.291,10.175,107.0544,538.9,10006.80548169704,0.008,0
2026-04-20T10:37:58Z,-0.053,17.6392,3.5463,2.3098,37.259,31.776014,8.9952,94.164,10.178,106.9552,540.83,10006.895050591667,0.003,0
2026-04-20T10:37:58Z,-0.056,17.6397,3.5811,2.3985,37.28,31.79374,9.0076,94.045,10.182,106.783,542.08,10020.37896849313,0.001,0
2026-04-20T10:37:58Z,-0.059,17.6389,3.6157,2.36,37.286,31.798458,9.0059,93.95,10.184,106.8652,542.84,10024.493927468406,0.001,0
2026-04-20T10:37:58Z,-0.06,17.6379,3.6149,2.2541,37.251,31.769623,8.9919,93.897,10.185,107.1757,542.84,10002.664155611184,0.004,0
2026-04-20T10:37:58Z,-0.057,17.6372,3.596,2.2121,37.242,31.762288,8.9801,93.892,10.187,107.3536,542.04,9997.365256651643,0.01,0
2026-04-20T10:37:58Z,-0.052,17.6369,3.6049,2.2617,37.254,31.773206,8.968,93.942,10.19,107.3809,540.94,10006.005030351704,0.017,0
2026-04-20T10:37:58Z,-0.047,17.6371,3.6224,2.2729,37.256,31.774756,8.9582,94.018,10.191,107.4202,536.44,10007.095851743752,0.022,0
2026-04-20T10:37:58Z,-0.042,17.6378,3.6242,2.2106,37.263,31.781033,8.9532,94.07,10.19,107.2263,511.45,10011.576124190045,0.026,0
2026-04-20T10:37:58Z,-0.033,17.6384,3.6269,2.1919,37.268,31.785665,8.952,94.095,10.189,106.8437,458.85,10014.835849259902,0.027,0
2026-04-20T10:37:58Z,-0.024,17.6391,3.6377,2.2515,37.246,31.767317,8.9572,94.13,10.189,106.8376,413.3,10000.201072320073,0.027,0
2026-04-20T10:37:58Z,-0.015,17.64,3.6635,2.3167,37.225,31.749505,8.9673,94.174,10.188,106.9801,391.01,9985.8839739048,0.031,0
2026-04-20T10:37:58Z,-0.009,17.6404,3.673,2.2969,37.238,31.760624,8.9721,94.217,10.187,107.104,372.16,9994.28071408521,0.045,0
2026-04-20T10:37:58Z,-0.006,17.6405,3.6609,2.2178,37.254,31.77487,8.9717,94.235,10.187,107.3888,364.31,10005.276669493203,0.069,0
2026-04-20T10:37:58Z,-0.001,17.6407,3.6671,2.1798,37.276,31.794883,8.9765,94.21,10.188,107.3271,360.53,10020.70359801615,0.095,0
2026-04-20T10:37:58Z,0.024,17.6411,3.7649,2.2469,37.295,31.812288,8.9804,94.181,10.189,106.7884,327.53,10034.004451015506,0.117,0
2026-04-20T10:37:58Z,0.076,17.6413,3.9354,2.3795,37.274,31.794998,8.985,94.164,10.19,106.3819,280.41,10020.452897061738,0.131,0
2026-04-20T10:37:58Z,0.135,17.6416,4.014,2.3826,37.252,31.77614,8.9889,94.156,10.192,106.2839,250.86,10005.640104377513,0.133,0
2026-04-20T10:37:58Z,0.178,17.6429,3.9997,2.2506,37.25,31.774595,8.983,94.167,10.195,106.463,236.72,10003.711077715883,0.119,0
2026-04-20T10:37:58Z,0.204,17.6447,4.012,2.2187,37.252,31.776311,8.9795,94.174,10.197,106.7411,229.57,10004.032781759517,0.09,0
2026-04-20T10:37:58Z,0.219,17.6459,4.0628,2.3385,37.277,31.796887,8.9793,94.185,10.199,106.5495,227.38,10019.332294163289,0.058,0
2026-04-20T10:37:58Z,0.221,17.6465,4.0986,2.4341,37.319,31.833062,8.9756,94.234,10.202,106.0386,228.16,10047.11530337801,0.034,0
2026-04-20T10:37:58Z,0.216,17.6463,4.0946,2.384,37.319,31.833077,8.9799,94.295,10.204,105.7264,232.43,10047.23983467859,0.024,0
2026-04-20T10:37:58Z,0.211,17.6457,4.082,2.2794,37.275,31.797072,8.9801,94.345,10.205,105.6137,236.03,10019.588894012399,0.022,0
2026-04-20T10:37:58Z,0.218,17.6454,4.1038,2.2965,37.252,31.778354,8.9783,94.375,10.207,105.7082,234.45,10005.225617134234,0.026,0
2026-04-20T10:37:58Z,0.234,17.645,4.1416,2.3863,37.272,31.797072,8.9854,94.367,10.208,106.0096,232.79,10019.980701373024,0.032,0
2026-04-20T10:37:58Z,0.249,17.6455,4.1648,2.4093,37.313,31.833078,8.9918,94.319,10.21,106.5042,230.89,10047.6897045731,0.037,0
2026-04-20T10:37:58Z,0.26,17.6475,4.234,2.3689,37.313,31.833077,8.9959,94.271,10.212,106.9563,226.83,10046.56261777943,0.039,0
2026-04-20T10:37:58Z,0.268,17.6492,4.354,2.2742,37.27,31.797057,8.9993,94.225,10.212,107.0878,224.75,10017.610435965922,0.042,0
2026-04-20T10:37:58Z,0.273,17.6513,4.4346,2.2546,37.247,31.778197,8.9993,94.19,10.21,107.148,222.98,10001.795338782207,0.051,0
2026-04-20T10:37:58Z,0.279,17.653,4.467,2.3371,37.264,31.795357,8.991,94.185,10.21,107.1674,218.69,10014.158128657395,0.065,0
2026-04-20T10:37:58Z,0.291,17.6533,4.4792,2.3145,37.283,31.814218,8.9877,94.18,10.21,107.2365,209.99,10028.637587761623,0.08,0
2026-04-20T10:37:58Z,0.32,17.6534,4.4829,2.2205,37.282,31.815931,8.9831,94.17,10.21,107.898,196.73,10029.911248822444,0.092,0
2026-04-20T10:37:58Z,0.359,17.6538,4.4868,2.1916,37.281,31.816072,8.9774,94.205,10.211,108.8842,185.81,10029.794190752104,0.099,0
