DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2026-04-20T11:10:42Z,-0.11,9.6641,3.424,2.3931,175.178,121.465052,10.3261,92.557,8.282,37.9779,457.69,510488.98736631667,0.285,0
2026-04-20T11:10:42Z,-0.025,9.6645,3.4423,2.406,175.272,121.533976,10.3466,93.358,8.338,44.5057,348.48,511223.0741212414,0.282,0
2026-04-20T11:10:42Z,0.061,9.6651,3.4387,2.3591,175.364,121.602183,10.3852,94.252,8.389,41.03,261.74,511942.8846732582,0.266,0
2026-04-20T11:10:42Z,0.138,9.6658,3.4389,2.2027,175.429,121.652518,10.4483,95.078,8.435,36.0485,222.06,512465.3122742249,0.236,0
2026-04-20T11:10:42Z,0.199,9.6666,3.4778,2.0176,175.484,121.696534,10.5182,95.796,8.475,31.6815,204.57,512915.7180501709,0.191,0
2026-04-20T11:10:42Z,0.239,9.6677,3.5103,1.9659,175.555,121.75205,10.6091,96.399,8.511,28.5819,195.58,513480.893361876,0.142,0
2026-04-20T11:10:42Z,0.261,9.6689,3.5147,2.0219,175.635,121.813981,10.7238,96.835,8.544,27.5669,192.01,514112.768621866,0.097,0
2026-04-20T11:10:42Z,0.271,9.6704,3.5147,2.0455,175.707,121.871849,10.8141,97.081,8.574,28.7871,192.86,514690.05125622486,0.062,0
2026-04-20T11:10:42Z,0.274,9.6721,3.5271,2.046,175.796,121.941947,10.8958,97.178,8.601,30.2581,194.01,515394.0006826343,0.042,0
2026-04-20T11:10:42Z,0.276,9.6738,3.5395,2.0623,175.903,122.024314,10.9671,97.177,8.626,31.7577,191.74,516232.48536074033,0.033,0
2026-04-20T11:10:42Z,0.283,9.6757,3.5479,2.072,176.003,122.103078,11.0176,97.099,8.651,33.1518,187.27,517025.1441657395,0.032,0
2026-04-20T11:10:42Z,0.294,9.678,3.5619,2.1291,176.119,122.193323,11.0425,96.969,8.672,33.9508,181.5,517929.73312679346,0.033,0
2026-04-20T11:10:42Z,0.306,9.6804,3.5591,2.1723,176.24,122.28707,11.0501,96.819,8.691,34.4488,175.2,518869.9375800993,0.034,0
2026-04-20T11:10:42Z,0.317,9.6827,3.5475,2.1497,176.307,122.344445,11.0496,96.677,8.709,35.1295,170.04,519415.8469470658,0.033,0
