DateTime,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin_ugL,Phycocyanin_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,PAR,Salinity,DescRate_ms ,Flag
2025-03-24T10:11:49Z,1.61,10.5391,22.05,3.7133,0.1704,0.6345,3.8296,19.863563,27.945,10.6874,95.796,14.432,2.0508181628632713,0.079,0
2025-03-24T10:11:49Z,1.63,10.5386,22.05,3.3776,0.1704,0.6345,4.026,19.896087,27.992,10.6816,95.802,14.045,2.0544967194948907,0.08,0
2025-03-24T10:11:49Z,1.651,10.5384,22.05,3.3585,0.1704,0.6345,4.0864,19.920431,28.028,10.6783,95.819,13.824,2.0573043313845667,0.081,0
2025-03-24T10:11:49Z,1.672,10.5382,22.05,3.3433,0.1704,0.6345,4.0864,19.929153,28.043,10.6771,95.843,13.752,2.058480410209587,0.082,0
2025-03-24T10:11:49Z,1.693,10.5378,22.05,3.3662,0.1704,0.6345,4.0411,19.918606,28.032,10.6769,95.868,13.314,2.057647375574682,0.082,0
2025-03-24T10:11:49Z,1.715,10.5369,22.05,3.3967,0.1704,0.6345,4.0411,19.899914,28.01,10.6778,95.893,12.74,2.0559875363925597,0.081,0
2025-03-24T10:11:49Z,1.737,10.5347,22.05,3.4043,0.1704,0.6345,3.9958,19.870081,27.972,10.6802,95.918,12.158,2.053157101856955,0.079,0
2025-03-24T10:11:49Z,1.758,10.5308,22.05,3.4157,0.1278,0.6345,3.8901,19.833095,27.923,10.6839,95.942,11.845,2.0495666248697457,0.074,0
2025-03-24T10:11:49Z,1.777,10.5254,22.05,3.4424,0.1278,0.6345,4.0562,19.814924,27.9,10.688,95.97,11.684,2.0480795005865158,0.069,0
2025-03-24T10:11:49Z,1.793,10.5195,22.05,3.1487,0.1278,0.6345,3.8447,19.820677,27.909,10.6922,96.008,11.59,2.0491067128605085,0.063,0
2025-03-24T10:11:49Z,1.808,10.5144,22.05,3.0877,0.1278,0.6345,3.7843,19.83198,27.925,10.6963,96.055,11.468,2.050633833343401,0.059,0
2025-03-24T10:11:49Z,1.821,10.5106,22.05,3.1144,0.1278,0.6345,3.739,19.843887,27.943,10.7,96.11,11.515,2.052244477288595,0.056,0
2025-03-24T10:11:49Z,1.833,10.5083,22.05,3.1029,0.1278,0.6345,3.8296,19.863553,27.972,10.7037,96.165,11.58,2.054627103181718,0.056,0
2025-03-24T10:11:49Z,1.846,10.507,22.05,3.3509,0.1278,0.6345,3.8447,19.886269,28.007,10.7082,96.213,11.548,2.057420871016567,0.058,0
2025-03-24T10:11:49Z,1.86,10.5062,22.05,3.3547,0.1278,0.6345,3.8447,19.898187,28.027,10.7137,96.249,11.329,2.0590204803304917,0.063,0
2025-03-24T10:11:49Z,1.877,10.5051,22.05,3.3433,0.1704,0.54990000000000006,3.8296,19.902485,28.038,10.72,96.26,10.866,2.0599369796025906,0.068,0
2025-03-24T10:11:49Z,1.895,10.5033,22.05,3.3662,0.1704,0.54990000000000006,3.8145,19.9023,28.042,10.7266,96.241,10.598,2.060348281025428,0.073,0
2025-03-24T10:11:49Z,1.915,10.5003,22.05,3.1106,0.1704,0.54990000000000006,3.7692,19.889618,28.029,10.7329,96.197,10.386,2.0595044886199627,0.078,0
2025-03-24T10:11:49Z,1.936,10.4958,22.05,3.1067,0.1704,0.54990000000000006,3.8145,19.882956,28.023,10.738,96.132,10.108,2.05928897004029,0.082,0
2025-03-24T10:11:49Z,1.958,10.4902,22.05,3.1182,0.1704,0.54990000000000006,3.9203,19.898452,28.048,10.7406,96.045,9.777,2.0615468573215865,0.085,0
2025-03-24T10:11:49Z,1.98,10.4843,22.14,3.08,0.1278,0.4653,3.8145,19.914361,28.073,10.7399,95.923,9.5068,2.06382234033113,0.086,0
2025-03-24T10:11:49Z,2.003,10.4788,22.14,3.0266,0.1278,0.4653,3.8296,19.903074,28.058,10.7364,95.747,9.1441,2.062962732748455,0.086,0
2025-03-24T10:11:49Z,2.026,10.4738,22.14,3.0305,0.1278,0.4653,3.7692,19.873526,28.017,10.7304,95.515,9.0591,2.0600510858479355,0.086,0
2025-03-24T10:11:49Z,2.047,10.4696,22.14,3.0648,0.1278,0.4653,3.739,19.843715,27.977,10.7218,95.248,9.0178,2.057172055398058,0.086,0
2025-03-24T10:11:49Z,2.068,10.4667,22.14,3.0457,0.1704,0.54990000000000006,3.8145,19.817635,27.942,10.7089,94.981,8.74,2.0546092959138136,0.086,0
2025-03-24T10:11:49Z,2.09,10.4648,22.14,3.389,0.1704,0.54990000000000006,3.8296,19.798285,27.917,10.6897,94.776,8.687,2.0527688729795543,0.086,0
2025-03-24T10:11:49Z,2.111,10.4635,22.14,3.4157,0.1704,0.54990000000000006,3.8447,19.774532,27.887,10.6642,94.695,8.554,2.050505765390114,0.087,0
2025-03-24T10:11:49Z,2.133,10.4618,22.14,3.4272,0.1704,0.54990000000000006,3.8447,19.748005,27.855,10.6347,94.774,8.3647,2.0481092688196085,0.087,0
2025-03-24T10:11:49Z,2.156,10.4594,22.14,3.4386,0.1278,0.5076,3.8598,19.739499,27.848,10.6056,95.009,8.0911,2.0476974241778465,0.088,0
2025-03-24T10:11:49Z,2.179,10.4561,22.14,3.2784,0.1278,0.5076,3.7843,19.750725,27.87,10.5835,95.351,7.8198,2.0495929740065697,0.088,0
2025-03-24T10:11:49Z,2.202,10.4517,22.14,3.2708,0.1278,0.5076,3.7843,19.75681,27.885,10.5755,95.73,7.655,2.0510053380617554,0.088,0
2025-03-24T10:11:49Z,2.225,10.4459,22.14,3.286,0.1278,0.5076,3.7994,19.739469,27.866,10.5858,96.071,7.5657,2.049848774385446,0.088,0
2025-03-24T10:11:49Z,2.247,10.4389,22.14,3.2746,0.1278,0.54990000000000006,3.8447,19.717966,27.842,10.6137,96.305,7.5018,2.0483694024860686,0.087,0
2025-03-24T10:11:49Z,2.268,10.4314,22.14,3.0266,0.1278,0.54990000000000006,3.6937,19.730358,27.865,10.6538,96.384,7.2834,2.0505782519325404,0.086,0
2025-03-24T10:11:49Z,2.29,10.4236,22.14,3.061,0.1278,0.54990000000000006,3.8145,19.773979,27.932,10.6981,96.306,7.1766,2.056233328327784,0.085,0
2025-03-24T10:11:49Z,2.311,10.4158,22.14,3.0724,0.1278,0.54990000000000006,3.8598,19.796762,27.969,10.7382,96.113,6.9283,2.0595531316157443,0.084,0
2025-03-24T10:11:49Z,2.333,10.4083,22.14,3.0305,0.1278,0.54990000000000006,3.7692,19.796819,27.974,10.7661,95.88,6.7868,2.060362742444818,0.083,0
2025-03-24T10:11:49Z,2.354,10.4013,22.14,3.5912,0.1704,0.423,4.162,19.800044,27.983,10.7767,95.678,6.615,2.0614565317360216,0.082,0
2025-03-24T10:11:49Z,2.375,10.3946,22.14,3.6027,0.1704,0.423,4.1318,19.79137,27.975,10.7697,95.545,6.4223,2.0612079686178904,0.082,0
2025-03-24T10:11:49Z,2.395,10.3883,22.14,3.5798,0.1704,0.423,4.2224,19.782421,27.967,10.7498,95.498,6.3695,2.0609368553600995,0.082,0
2025-03-24T10:11:49Z,2.416,10.3821,22.14,3.6141,0.1704,0.423,4.026,19.792705,27.987,10.7253,95.527,6.346,2.062844624438111,0.085,0
2025-03-24T10:11:49Z,2.436,10.3761,22.14,3.2441,0.1278,0.5922,3.8598,19.809041,28.016,10.7042,95.608,6.2489,2.0654442289713693,0.089,0
2025-03-24T10:11:49Z,2.458,10.3701,22.14,3.2364,0.1278,0.5922,3.8447,19.811898,28.029,10.6908,95.712,6.3007,2.066795846653192,0.095,0
2025-03-24T10:11:49Z,2.482,10.3641,22.14,3.1983,0.1278,0.5922,3.8296,19.790092,28.008,10.687,95.818,6.1545,2.0654934404980256,0.102,0
2025-03-24T10:11:49Z,2.509,10.3576,22.14,3.2517,0.1278,0.5922,3.7692,19.749754,27.962,10.6919,95.912,5.8953,2.062266880013166,0.109,0
2025-03-24T10:11:49Z,2.539,10.3497,22.05,3.6751,0.1704,0.54990000000000006,4.0864,19.711975,27.92,10.7029,95.988,5.5293,2.0594303039233073,0.114,0
