DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR_umolm2s,DescRate_ms,Flag,Reservoir,Site,SN,CDOM_ugL,Phycoerythrin_ugL,Phycocyanin_ugL
2026-01-21T11:41:23Z,0.17,2.2703,0.5333,4.0797,44.373,24.172597,10.521,76.135,10.266,305.095,77.741,0.004,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.177,2.2591,0.5388,4.1427,44.238,24.11414,10.4051,76.566,10.264,303.2598,77.673,0.006,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.18,2.2315,0.553,4.1877,44.083,24.048874,10.3594,76.988,10.267,302.0025,77.299,0.006,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.181,2.2246,0.5302,4.1108,43.99,24.017649,10.4059,77.332,10.272,301.3357,77.484,0.004,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.181,2.2346,0.5295,4.1354,43.907,23.990293,10.4593,77.576,10.275,300.9627,77.846,0.001,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.179,2.2527,0.5531,4.2804,43.843,23.971792,10.514,77.665,10.277,301.451,78.08,-0.001,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.177,2.2767,0.5403,4.3264,43.846,23.984217,10.572,77.535,10.28,303.0229,78.09,-0.001,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.176,2.2991,0.5081,4.2481,43.78,23.950282,10.6103,77.276,10.282,304.1367,78.185,0.001,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.175,2.3192,0.4804,4.1529,43.656,23.878569,10.6407,77.011,10.285,303.9052,78.998,0.003,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.178,2.3398,0.4713,4.1668,43.555,23.814714,10.6548,76.754,10.288,302.1169,79.392,0.005,0,FCR,50,7809,NA,NA,NA
